word,reading,meanings,level,example_ja,example_en
真中,まんなか,middle,N4,湖の真中に、その島がある。,In the middle of the lake lies the island.
神社,じんじゃ,Shinto shrine,N4,京都は神社や仏閣で有名だ。,Kyoto is famous for its shrines and temples.
親,おや,parents,N4,親が払うよ。,My parents will pay for it.
親切,しんせつ,kindness,N4,彼女は親切だ。,She is kind.
進む,すすむ,to make progress,N4,私の腕時計は少し進む。,My watch runs too fast.
人形,にんぎょう,doll; figure,N4,あの人形怖い。,That doll is scary.
人口,じんこう,population,N4,その町は人口が多い。,The city has a large population.
尋ねる,たずねる,to ask,N4,尋ねるだけの価値がある。,I think it's worth asking.
水泳,すいえい,swimming,N4,水泳好きなの？,Are you fond of swimming?
水道,すいどう,water supply,N4,水道管が破裂した。,The water pipe burst.
数学,すうがく,mathematics; arithmetic,N4,数学はムズイ。,Mathematics is difficult.
世界,せかい,the world,N4,世界は広い。,The world is vast.
世話,せわする,to look after,N4,大きなお世話だ。,Mind your own business!
凄い,すごい,terrific,N4,そいつは凄い！,That's amazing!
政治,せいじ,politics; government,N4,彼は全く政治家だ。,He is every bit a politician.
星,ほし,star,N4,星に願いを。,Let me wish upon a shooting star.
正しい,ただしい,correct,N4,大体正しい。,That is almost correct.
生きる,いきる,to live,N4,生きるのは危険です。,Living is dangerous.
生活,せいかつする,to live,N4,放蕩生活を送る。,I lead a fast way of living.
生産,せいさんする,to produce,N4,生産が落ち始めている。,Production is turning down.
盛ん,さかん,popularity; prosperous,N4,彼は盛んにしている。,He is still fully active.
西洋,せいよう,western countries,N4,彼は西洋文化が好きだ。,He likes Western culture.
席,せき,seat,N4,出席します。,I will join it!
昔,むかし,olden days; former,N4,昔はよくした。,I used to a lot.
石,いし,stone,N4,点滴石を穿つ。,Constant dripping wears away a stone.
赤ん坊,あかんぼう,baby,N4,彼は赤ん坊同然だ。,He is no better than a baby.
折る,おる,to break or to fold,N4,木を折るな。,Don't break the branches.
折れる,おれる,to break or be folded,N4,折れるより曲がれ。,Better to bend than break.
説明,せつめい,explanation,N4,説明させて。,Let me try to explain.
先輩,せんぱい,senior,N4,トムは高校の先輩です。,Tom and I went to the same high school.
戦争,せんそう,war,N4,戦争が怖い。,I'm afraid of war.
浅い,あさい,shallow; superficial,N4,眠りが浅いんだ。,I'm a light sleeper.
線,せん,line,N4,中央線ですね。,I think it's by the Chuo Line.
選ぶ,えらぶ,to choose,N4,金を選ぶべきだった。,I should have taken the money.
祖父,そふ,grandfather,N4,彼は祖父似だ。,He resembles his grandfather.
祖母,そぼ,grandmother,N4,祖母はゆっくり話す。,My grandmother speaks slowly.
痩せる,やせる,to become thin,N4,痩せる必要がないというのは残念だ。,It's too bad that I don't need to lose weight.
相談,そうだんする,to discuss,N4,私は姉に相談した。,I consulted with my sister.
草,くさ,grass,N4,草草の草ァ！,LOLOLOLOL!
送る,おくる,to send,N4,誰に送るの？,Who are they for?
騒ぐ,さわぐ,to make noise; to be excited,N4,そんなに騒ぐな。,Don't make so much noise.
増える,ふえる,to increase,N4,これで私の悩みが増える。,This adds to my troubles.
贈り物,おくりもの,gift,N4,贈り物があります。,I have some gifts.
息子,むすこ,(humble) son,N4,私の息子です。,He's my son.
足す,たす,to add a number,N4,１足す２は３である。,One plus two equals three.
足りる,たりる,to be enough,N4,これで足りる？,Is this enough?
続く,つづく,to be continued,N4,最近は寒い日が続く。,Now we are having one cold day after another.
続ける,つづける,to continue,N4,俺は動き続ける。,I gotta keep on movin'.
卒業,そつぎょう,graduation,N4,学校を卒業した。,I graduated from the school.
太る,ふとる,to become fat,N4,食べ過ぎると太る。,"If you eat too much, you'll become fat."
打つ,うつ,to hit,N4,打つ手がないね。,I'm all out of tricks.
退院,たいいんする,to leave hospital,N4,患者は退院した。,The patient was discharged from hospital.
代わり,かわり,substitute; alternate,N4,担当者と代わります。,I'll transfer you to the right person.
台風,たいふう,typhoon,N4,台風は去った。,The typhoon is gone.
大学生,だいがくせい,university student,N4,大学生です。,I am a university student.
大事,だいじ,important; valuable; serious matter,N4,大事なものか？,Is it important?
大体,だいたい,generally,N4,大体正しい。,That is almost correct.
大分,だいぶ,greatly,N4,今日は大分暖かいね。,It's fairly warm today.
棚,たな,shelves,N4,棚は空っぽです。,The shelves are empty.
探す,さがす,to look for,N4,他の仕事を探すよ。,I'll find another job.
暖房,だんぼう,heating,N4,暖房を消しましたか。,Did you turn off the heater?
男性,だんせい,male,N4,男性より女性が先。,Ladies before gentlemen.
知らせる,しらせる,to notify,N4,後で知らせるよ。,I'll let you know later.
地震,じしん,earthquake,N4,地震だった？,Was it an earthquake?
地理,ちり,geography,N4,地理は弱い。,I am weak in geography.
恥ずかしい,はずかしい,embarrassed,N4,恥ずかしいなぁ！,How embarrassing!
致す,いたす,(humble) to do,N4,両極端は一致する。,Extremes meet.
遅れる,おくれる,to be late,N4,遅れるなよ。,Don't be late.
着物,きもの,kimono,N4,着物は着ますか。,Do you wear a kimono?
中々,なかなか,considerably,N4,,
中学校,ちゅうがっこう,junior high school; middle school,N4,彼は中学校に入った。,He entered junior high school.
昼間,ひるま,daytime; during the day,N4,太陽は昼間輝く。,The sun shines during the day.
昼休み,ひるやすみ,noon break,N4,お昼休みはいつ？,When is your lunch break?
注意,ちゅうい,caution,N4,猛犬に注意！,Beware of the dog!
注射,ちゅうしゃ,injection,N4,注射をしましょう。,I'll give you a shot.
虫,むし,insect,N4,虫が怖いの？,Are you afraid of insects?
駐車場,ちゅうしゃじょう,parking lot,N4,駐車場はある？,Is there a car park?
丁寧,ていねい,polite,N4,彼はばか丁寧だ。,He is polite to a fault.
調べる,しらべる,to investigate,N4,辞書で単語を調べる。,I'll look up the vocabulary in the dictionary.
直す,なおす,to fix; to repair,N4,かけ直すよ。,I'll ring you back.
直る,なおる,to be fixed; to be repaired,N4,すぐに立ち直るよね！,I believe you'll get over it soon.
珍しい,めずらしい,rare,N4,珍しい名前だね。,It's an unusual name.
通う,かよう,to commute,N4,私は歩いて学校に通う。,I go to school on foot.
通る,とおる,to go through,N4,この橋を通るな。,Don't cross this bridge.
漬ける,つける,to soak; to pickle,N4,靴下の臭いが気になる時は、クエン酸水に漬けるといいそうよ。,"If you're worried about your socks smelling, dipping them in citric acid solution might do the trick."
釣る,つる,to fish,N4,海老で鯛を釣る。,Throw a sprat to catch a whale.
泥棒,どろぼう,thief,N4,彼は泥棒だ。,He is a thief.
適当,てきとう,suitability,N4,適当にやって。,Let's just wing it.
天気予報,てんきよほう,weather forecast,N4,天気予報が当たったよ。,The weather forecast was right.
展覧会,てんらんかい,exhibition,N4,展覧会は現在開催中です。,The exhibition is now open.
店員,てんいん,shop assistant,N4,彼は店員に金を渡した。,He handed the salesclerk the money.
点,てん,point; dot,N4,論点がわかる。,I see the point of the argument.
伝える,つたえる,to report,N4,鉄は熱をよく伝える。,Iron transmits heat well.
田舎,いなか,countryside,N4,田舎育ちです。,I grew up in the countryside.
電灯,でんとう,electric light,N4,電灯が消えた。,The electric light went out.
電報,でんぽう,telegram,N4,電報をすぐ送れ。,Send the telegram at once.
塗る,ぬる,to paint; to plaster,N4,壁を塗るつもりです。,We're going to paint the wall.
途中,とちゅう,on the way,N4,家に帰る途中なの？,Are you on your way home?
都,と,metropolitan,N4,工業都市です。,It's an industrial city.
都合,つごう,circumstances; convenience,N4,一身上の都合です。,For personal reasons.
怒る,おこる,to get angry; to be angry,N4,彼はすぐ怒る。,He gets mad very easily.
倒れる,たおれる,to break down,N4,内部分裂した家は倒れる。,A house divided against itself can't stand.
島,しま,island,N4,日本は島国だ。,Japan is an island country.
投げる,なげる,to throw or cast away,N4,速球を投げる。,I'll throw a fastball.
盗む,ぬすむ,to steal,N4,盗むのは悪いことだ。,It is bad to steal.
湯,ゆ,hot water,N4,いい湯だなあ。,"Ah, this hot water's good!"
答,こたえ,response,N4,何問答えた？,How many questions did you answer?
踏む,ふむ,to step on,N4,割れたガラスを踏むな。,Don't step on the broken glass.
逃げる,にげる,to escape,N4,逃げるが勝ち。,Yielding is sometimes the best way of succeeding.
動く,うごく,to move,N4,心が動くね。,That sounds very tempting.
動物園,どうぶつえん,zoo,N4,動物園に行こう。,Let's go to the zoo.
道具,どうぐ,tool; means,N4,道具を粗末に使うな。,Don't handle these tools roughly.
特に,とくに,particularly; especially,N4,特に犬が好きだ。,He loves dogs above all.
特急,とっきゅう,limited express train (faster than an express train),N4,特急のホームは何番ですか。,What's the track for the limited express?
特別,とくべつ,special,N4,君は特別だよ。,You're special.
届ける,とどける,to reach,N4,これを届けるよう頼まれたんです。,I was asked to deliver this.
二階建て,にかいだて,two storied,N4,,
日,ひ,day; sun,N4,本日定休日。,Today is our regular closing day.
日記,にっき,journal,N4,日記をつける。,I keep a diary.
入院,にゅういんする,to hospitalise,N4,入院してます。,I'm in the hospital.
入学,にゅうがくする,to enter school or university,N4,彼は裏口入学した。,He bought his way into college.
熱,ねつ,fever,N4,熱はあるの？,Do you have a fever?
拝見,はいけんする,(humble) to look at,N4,搭乗券を拝見します。,"May I see your boarding pass, please?"
背中,せなか,back of the body,N4,背中が痛い。,My back hurts.
倍,ばい,double,N4,二の二倍は四。,Twice two is equal to four.
売り場,うりば,place where things are sold,N4,切符売り場はどこですか。,Where is the ticket window?
泊まる,とまる,to lodge at,N4,泊まることにしたよ。,I've decided to stay.
発音,はつおん,pronunciation,N4,発音がいいね。,You have good pronunciation.
髪,かみ,hair,N4,彼は長髪だ。,He wears his hair long.
反対,はんたい,opposition,N4,反対投票多数。,The noes have it.
番組,ばんぐみ,television or radio program,N4,この番組見る？,Do you want to watch this program?
彼,かれ,he; boyfriend,N4,彼女は歩く。,She walks.
彼ら,かれら,they,N4,彼らは青い。,They're green.
彼女,かのじょ,she; girlfriend,N4,彼女は歩く。,She walks.
悲しい,かなしい,sad,N4,悲しいです。,I'm sad.
比べる,くらべる,to compare,N4,以前と比べるとよくなった。,It's better than it was before.
非常に,ひじょうに,extremely,N4,彼は非常に親切だ。,He is a very decent fellow.
飛行場,ひこうじょう,airport,N4,航空券は飛行場で受け取れますか。,Can I pick my ticket up at the airport?
美しい,うつくしい,beautiful,N4,私は美しい。,I'm beautiful.
美術館,びじゅつかん,art gallery,N4,俺たちは美術館に行った。,We went to the museum.
必ず,かならず,certainly; necessarily,N4,必ずやります。,I'll do it by all means.
必要,ひつよう,necessary,N4,君が必要だ。,I need you.
表,おもて,the front,N4,いい表現だね。,That's a great way of putting it.
品物,しなもの,goods,N4,この品物は安い。,This article is cheap.
不便,ふべん,inconvenience,N4,電話がないのは不便だ。,Not having a telephone is an inconvenience.
付く,つく,to be attached,N4,彼女の水着は目に付く。,Her bathing suit attracts our attention.
夫,おっと,husband,N4,大丈夫そう？,Are you going to be OK?
布団,ふとん,Japanese bedding; futon,N4,布団干しといて。,Air the futon.
怖い,こわい,frightening,N4,まだ怖いの？,Are you still scared?
普通,ふつう,usually; or a train that stops at every station,N4,視力は普通です。,I have normal eyesight.
負ける,まける,to lose,N4,負けるが勝ち。,"When you lose, you actually win."
部長,ぶちょう,head of a section,N4,彼は営業部の部長です。,He is the manager of the marketing department.
復習,ふくしゅう,revision,N4,第５課を復習しましょう。,Let's review Lesson 5.
複雑,ふくざつ,complexity; complication,N4,マジで複雑だ！,It's complicated as hell.
払う,はらう,to pay,N4,今日払うよ。,I'll pay today.
沸かす,わかす,to boil; to heat,N4,,
沸く,わく,to boil; to grow hot; to get excited,N4,トムは、やかんが沸くのを待っていました。,Tom waited for the kettle to boil.
文化,ぶんか,culture,N4,文化人です。,I'm a man of culture.
文学,ぶんがく,literature,N4,彼は文学者である。,He is a man of letters.
文法,ぶんぽう,grammar,N4,文法が嫌いです。,I hate grammar.
聞こえる,きこえる,to be heard,N4,何か聞こえる？,Do you hear any sound?
米,こめ,uncooked rice,N4,米を煮なさい。,Cook the rice.
壁,かべ,wall,N4,壁に耳あり。,The walls have ears.
別,べつ,different,N4,別人みたい。,You look like a completely different person.
別れる,わかれる,to separate,N4,トムと別れるの？,Are you breaking up with Tom?
変,へん,strange,N4,変わりない？,Is everything OK?
変える,かえる,to change,N4,熱は氷を水に変える。,Heat changes ice into water.
変わる,かわる,to change,N4,水は蒸気に変わる。,Water changes into steam.
片付ける,かたづける,to tidy up,N4,家を片付ける必要がある。,I need to declutter my house.
返事,へんじ,reply,N4,返事がない。,There is no reply.
捕まえる,つかまえる,to seize,N4,虫を捕まえる。,I capture insects.
暮れる,くれる,to get dark; to come to an end,N4,冬の日は速く暮れる。,The night falls fast in winter.
包む,つつむ,to wrap,N4,包む必要はありません。,You don't have to wrap it up.
放送,ほうそうする,to broadcast,N4,絶賛放送中！,Currently on air!
法律,ほうりつ,law,N4,法律ですから。,It's the law.
訪ねる,たずねる,to visit,N4,明日彼を訪ねるつもりだ。,I'll call on him tomorrow.
亡くなる,なくなる,to die,N4,交通事故で亡くなる方も多いです。,Many people die in traffic accidents.
忘れ物,わすれもの,lost article,N4,忘れ物ない？,Do you have everything?
貿易,ぼうえき,trade,N4,貿易が国富を増大させた。,Trade increased the country's wealth.
僕,ぼく,I (used by males),N4,僕は忙しい。,I'm busy.
翻訳,ほんやく,translation,N4,翻訳された!,Translated!
漫画,まんが,comic,N4,私は漫画家です。,I'm a cartoonist.
味,あじ,flavour,N4,後味が悪い。,It leaves a bad aftertaste.
味噌,みそ,bean paste,N4,味噌汁が温まった。,The miso soup has heated up.
眠い,ねむい,sleepy,N4,眠いですか？,Are you sleepy?
眠る,ねむる,to sleep,N4,私と友に眠る。,She lies here beside me.
夢,ゆめ,dream,N4,夢をつかめ！,Get the dream.
無くなる,なくなる,to disappear; to get lost,N4,会議は恐らく無くなるよ。,The meeting will probably be canceled.
無理,むり,impossible,N4,絶対無理だ。,It's absolutely impossible.
娘,むすめ,(humble) daughter,N4,猫娘は好き。,I like catgirls.
明日,あす,tomorrow,N4,明日来れる？,Can you come tomorrow?
鳴る,なる,to sound,N4,怒鳴るなよ。,Don't shout.
毛,け,hair or fur,N4,はい、毛布。,Here is a blanket.
木綿,もめん,cotton,N4,このブラウスは木綿製です。,This blouse is cotton.
戻る,もどる,to turn back,N4,すぐに戻るよ。,I will be back soon.
役に立つ,やくにたつ,to be helpful,N4,役に立つはずだ。,That ought to help.
約束,やくそく,promise,N4,約束するよ。,I give you my word.
訳,わけ,meaning; reason,N4,その内訳は？,Give me the details.
輸出,ゆしゅつする,to export,N4,輸出業界は青息吐息だ。,The export business isn't doing well.
輸入,ゆにゅうする,to import,N4,輸入車の需要は強い。,Imported cars are in strong demand.
優しい,やさしい,kind,N4,優しい人です。,He is kind.
遊び,あそび,play,N4,遊びましょう。,Let's play.
予習,よしゅう,preparation for a lesson,N4,彼は予習した。,He prepared his lessons.
予定,よてい,arrangement,N4,次の予定は？,What's next on the schedule?
予約,よやく,reservation,N4,予約してある。,I have a reservation.
揺れる,ゆれる,to shake; to sway,N4,家が揺れるのを感じた。,I felt the house shake.
用,よう,use,N4,他にご用は？,Did you want anything else?
用意,ようい,preparation,N4,早く用意して。,Get ready quickly.
用事,ようじ,things to do,N4,今日用事あるの？,Is there anything you need to do today?
葉,は,leaf,N4,葉が落ちた。,The leaves fell.
踊り,おどり,a dance,N4,踊り続けて。,Keep dancing.
踊る,おどる,to dance,N4,踊るのが大っ嫌い。,I hate dancing.
落す,おとす,to drop,N4,そのコップを落すな。,Don't drop that cup.
落る,おちる,to fall or drop,N4,,
利用,りよう,utilization,N4,再利用するの？,Do you recycle?
理由,りゆう,reason,N4,理由は簡単だよ。,The reason is simple.
裏,うら,reverse side,N4,彼は裏切った。,He turned traitor.
立てる,たてる,to stand something up,N4,腹を立てるな。,Don't get angry.
留守,るす,absence,N4,母は留守です。,Mother is away from home.
旅館,りょかん,Japanese hotel,N4,あの旅館は家庭的だ。,The hotel has a homey atmosphere.
両方,りょうほう,both sides,N4,両方好きよ。,I like both of them.
力,ちから,strength; power,N4,力が尽きた。,My strength is all gone.
林,はやし,woods; forester,N4,林に竹が目立つ。,Bamboo stands out in the woods.
例えば,たとえば,for example,N4,例えば、これはペンです。,"For example, this is a pen."
冷える,ひえる,to grow cold,N4,ひどく冷えるなあ。,It's very cold.
冷房,れいぼう,air conditioning,N4,この部屋は冷房してある。,This room is air-conditioned.
歴史,れきし,history,N4,歴史は繰り返す。,History repeats itself.
連れる,つれる,to lead,N4,,
連絡,れんらく,contact,N4,連絡してね。,Keep in touch.
腕,うで,arm,N4,腕を放して。,Let go of my arm!
